"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"CA006158355","TORONTO CITY, ON CA","2017-01-01","0.0","30.0","1.3","3.1","-0.5"
"CA006158355","TORONTO CITY, ON CA","2017-01-02","0.0","30.0","3.1","5.5","0.7"
"CA006158355","TORONTO CITY, ON CA","2017-01-03","11.3","10.0","3.6","4.8","2.4"
"CA006158355","TORONTO CITY, ON CA","2017-01-04","0.6",,"-1.9","3.8","-7.6"
"CA006158355","TORONTO CITY, ON CA","2017-01-05","0.0",,"-7.8","-5.3","-10.3"
"CA006158355","TORONTO CITY, ON CA","2017-01-06","0.0",,"-8.9","-5.9","-11.8"
"CA006158355","TORONTO CITY, ON CA","2017-01-07","0.0",,"-9.1","-6.4","-11.8"
"CA006158355","TORONTO CITY, ON CA","2017-01-08","0.0",,"-9.7","-8.2","-11.1"
"CA006158355","TORONTO CITY, ON CA","2017-01-09","0.0",,"-4.9","-1.2","-8.5"
"CA006158355","TORONTO CITY, ON CA","2017-01-10","18.3",,"2.7","7.1","-1.7"
"CA006158355","TORONTO CITY, ON CA","2017-01-11","4.3",,"5.1","8.2","1.9"
"CA006158355","TORONTO CITY, ON CA","2017-01-12","15.6",,"4.4","9.8","-1.0"
"CA006158355","TORONTO CITY, ON CA","2017-01-13","0.0",,"-4.2","-0.6","-7.8"
"CA006158355","TORONTO CITY, ON CA","2017-01-14","0.0",,"-5.3","-2.1","-8.5"
"CA006158355","TORONTO CITY, ON CA","2017-01-15","0.0",,"-2.0","0.5","-4.4"
"CA006158355","TORONTO CITY, ON CA","2017-01-16","0.0",,"-0.2","3.7","-4.0"
"CA006158355","TORONTO CITY, ON CA","2017-01-17","13.5",,"1.9","2.6","1.2"
"CA006158355","TORONTO CITY, ON CA","2017-01-18","0.4",,"3.2","4.5","1.8"
"CA006158355","TORONTO CITY, ON CA","2017-01-19","0.0","0.0","3.1","4.2","2.0"
"CA006158355","TORONTO CITY, ON CA","2017-01-20","0.0",,"3.1","4.2","1.9"
"CA006158355","TORONTO CITY, ON CA","2017-01-21","0.0",,"5.1","6.7","3.5"
"CA006158355","TORONTO CITY, ON CA","2017-01-22","0.0",,"4.2","5.9","2.5"
"CA006158355","TORONTO CITY, ON CA","2017-01-23","0.0",,"2.8","4.4","1.2"
"CA006158355","TORONTO CITY, ON CA","2017-01-24","0.5",,"1.1","1.9","0.3"
"CA006158355","TORONTO CITY, ON CA","2017-01-25","2.6",,"3.4","5.5","1.3"
"CA006158355","TORONTO CITY, ON CA","2017-01-26","2.2",,"3.2","4.8","1.5"
"CA006158355","TORONTO CITY, ON CA","2017-01-27","0.3",,"0.9","2.1","-0.3"
"CA006158355","TORONTO CITY, ON CA","2017-01-28","0.7",,"-0.9","-0.2","-1.5"
"CA006158355","TORONTO CITY, ON CA","2017-01-29","0.0",,"-3.5","-1.0","-5.9"
"CA006158355","TORONTO CITY, ON CA","2017-01-30","0.0",,"-7.1","-4.0","-10.1"
"CA006158355","TORONTO CITY, ON CA","2017-01-31","2.2","0.0","-3.2","-1.6","-4.7"
"CA006158355","TORONTO CITY, ON CA","2017-02-01","0.0","30.0","0.1","3.6","-3.4"
"CA006158355","TORONTO CITY, ON CA","2017-02-02","0.2",,"-3.7","-1.6","-5.7"
"CA006158355","TORONTO CITY, ON CA","2017-02-03","0.0","0.0","-5.7","-3.3","-8.0"
"CA006158355","TORONTO CITY, ON CA","2017-02-04","0.0","0.0","-3.8","-0.3","-7.3"
"CA006158355","TORONTO CITY, ON CA","2017-02-05","0.6","10.0","-0.6","1.4","-2.5"
"CA006158355","TORONTO CITY, ON CA","2017-02-06","0.0","10.0","-0.9","2.0","-3.7"
"CA006158355","TORONTO CITY, ON CA","2017-02-07","14.9",,"1.8","4.8","-1.2"
"CA006158355","TORONTO CITY, ON CA","2017-02-08","0.0","0.0","-1.4","4.4","-7.1"
"CA006158355","TORONTO CITY, ON CA","2017-02-09","0.2","10.0","-7.5","-3.9","-11.1"
"CA006158355","TORONTO CITY, ON CA","2017-02-10","5.0","0.0","-3.5","-0.2","-6.7"
"CA006158355","TORONTO CITY, ON CA","2017-02-11","0.0","70.0","1.7","5.0","-1.6"
"CA006158355","TORONTO CITY, ON CA","2017-02-12","14.8","40.0","-0.9","2.0","-3.7"
"CA006158355","TORONTO CITY, ON CA","2017-02-13","0.0","170.0","-2.2","-0.7","-3.6"
"CA006158355","TORONTO CITY, ON CA","2017-02-14","0.0","150.0","1.0","5.6","-3.6"
"CA006158355","TORONTO CITY, ON CA","2017-02-15","0.0","90.0","-1.1","3.0","-5.1"
